         292227 function calls (275690 primitive calls) in 0.513 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       78    0.000    0.000    0.000    0.000 <__array_function__ internals>:2(can_cast)
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:103(release)
       99    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:143(__init__)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:147(__enter__)
       99    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:151(__exit__)
      125    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:157(_get_module_lock)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:176(cb)
       26    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:194(_lock_unlock_module)
   154/27    0.000    0.000    0.301    0.011 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
      684    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:222(_verbose_message)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:232(_requires_builtin_wrapper)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:269(_module_repr)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:307(__init__)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:311(__enter__)
       95    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:318(__exit__)
      380    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:321(<genexpr>)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:35(_new_module)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:369(__init__)
      172    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:403(cached)
      296    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:416(parent)
       95    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:424(has_location)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:433(spec_from_loader)
       95    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap>:504(_init_module_attrs)
       95    0.000    0.000    0.027    0.000 <frozen importlib._bootstrap>:564(module_from_spec)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:58(__init__)
    95/27    0.001    0.000    0.271    0.010 <frozen importlib._bootstrap>:651(_load_unlocked)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:698(module_repr)
       98    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:707(find_spec)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:728(create_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:736(exec_module)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:753(is_package)
      125    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:78(acquire)
       97    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:780(find_spec)
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:843(__enter__)
      298    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:847(__exit__)
        6    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:861(_find_spec_legacy)
       98    0.001    0.000    0.118    0.001 <frozen importlib._bootstrap>:870(_find_spec)
    99/27    0.001    0.000    0.303    0.011 <frozen importlib._bootstrap>:936(_find_and_load_unlocked)
    99/27    0.001    0.000    0.304    0.011 <frozen importlib._bootstrap>:966(_find_and_load)
 1379/727    0.001    0.000    0.302    0.000 <frozen importlib._bootstrap>:997(_handle_fromlist)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1067(_path_hooks)
      112    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1080(_path_importer_cache)
       97    0.000    0.000    0.117    0.001 <frozen importlib._bootstrap_external>:1117(_get_spec)
       97    0.000    0.000    0.117    0.001 <frozen importlib._bootstrap_external>:1149(find_spec)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1196(__init__)
       24    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1202(<genexpr>)
       94    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      111    0.002    0.000    0.116    0.001 <frozen importlib._bootstrap_external>:1233(find_spec)
        3    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap_external>:1281(_fill_cache)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1322(path_hook_for_FileFinder)
      156    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
       94    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:393(_check_name_wrapper)
      111    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:41(_relax_case)
       78    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
       78    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap_external>:485(_compile_bytecode)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:52(_r_long)
       94    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:524(spec_from_file_location)
      572    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
      572    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
      156    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:63(_path_split)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:669(create_module)
    78/27    0.000    0.000    0.270    0.010 <frozen importlib._bootstrap_external>:672(exec_module)
       78    0.001    0.000    0.108    0.001 <frozen importlib._bootstrap_external>:743(get_code)
      295    0.000    0.000    0.109    0.000 <frozen importlib._bootstrap_external>:75(_path_stat)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:800(__init__)
       78    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:825(get_filename)
       78    0.091    0.001    0.092    0.001 <frozen importlib._bootstrap_external>:830(get_data)
       78    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:840(path_stats)
      106    0.000    0.000    0.106    0.001 <frozen importlib._bootstrap_external>:85(_path_is_mode_type)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:908(__init__)
       16    0.000    0.000    0.023    0.001 <frozen importlib._bootstrap_external>:919(create_module)
    16/13    0.000    0.000    0.016    0.001 <frozen importlib._bootstrap_external>:927(exec_module)
      103    0.000    0.000    0.106    0.001 <frozen importlib._bootstrap_external>:94(_path_isfile)
        3    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:99(_path_isdir)
        1    0.000    0.000    0.513    0.513 <string>:1(<module>)
        3    0.000    0.000    0.000    0.000 <string>:12(__new__)
        1    0.000    0.000    0.000    0.000 <string>:5(ArgSpec)
        1    0.000    0.000    0.000    0.000 <string>:5(Indexing)
        1    0.000    0.000    0.000    0.000 <string>:5(MachAr)
        1    0.000    0.000    0.000    0.000 <string>:5(_ArrayHelper)
        1    0.000    0.000    0.000    0.000 <string>:5(_ArrayIndexingHelper)
        1    0.000    0.000    0.000    0.000 <string>:5(finfo)
        1    0.000    0.000    0.000    0.000 <string>:5(iinfo)
       96    0.000    0.000    0.000    0.000 __init__.py:1286(debug)
      135    0.000    0.000    0.004    0.000 __init__.py:1408(_get_metadata_path)
      105    0.000    0.000    0.021    0.000 __init__.py:1411(has_metadata)
       30    0.000    0.000    0.020    0.001 __init__.py:1418(get_metadata)
       30    0.000    0.000    0.020    0.001 __init__.py:1433(get_metadata_lines)
      135    0.000    0.000    0.004    0.000 __init__.py:1488(_fn)
      135    0.000    0.000    0.002    0.000 __init__.py:1494(_validate_resource_path)
        1    0.000    0.000    0.028    0.028 __init__.py:151(<module>)
       96    0.000    0.000    0.000    0.000 __init__.py:1530(getEffectiveLevel)
       96    0.000    0.000    0.000    0.000 __init__.py:1544(isEnabledFor)
